ts,household_id,postcode,power_usage_in_kw
2020-01-01 12:10:00,1,4389,3.248
2020-01-01 12:10:00,2,15337,3.124
2020-01-01 12:10:00,3,26968,4.368
2020-01-01 12:10:00,4,3047,3.021
2020-01-01 12:10:00,5,18267,4.079
2020-01-01 12:10:00,6,99862,1.031
2020-01-01 12:10:00,7,38879,3.89
2020-01-01 12:10:00,8,18267,4.035
2020-01-01 12:10:00,9,2946,3.256
2020-01-01 12:10:00,10,99511,2.564
2020-01-01 12:11:00,1,4389,3.648
2020-01-01 12:11:00,2,15337,3.001
2020-01-01 12:11:00,3,26968,4.369
2020-01-01 12:11:00,4,3047,3.515
2020-01-01 12:11:00,5,18267,3.854
2020-01-01 12:11:00,6,99862,0.885
2020-01-01 12:11:00,7,38879,4.107
2020-01-01 12:11:00,8,18267,3.696
2020-01-01 12:11:00,9,2946,3.488
2020-01-01 12:11:00,10,99511,2.164
2020-01-01 12:12:00,1,4389,3.226
2020-01-01 12:12:00,2,15337,2.543
2020-01-01 12:12:00,3,26968,4.149
2020-01-01 12:12:00,4,3047,3.746
2020-01-01 12:12:00,5,18267,3.989
2020-01-01 12:12:00,6,99862,1.162
2020-01-01 12:12:00,7,38879,3.718
2020-01-01 12:12:00,8,18267,4.099
2020-01-01 12:12:00,9,2946,3.306
2020-01-01 12:12:00,10,99511,2.304
2020-01-01 12:13:00,1,4389,3.396
2020-01-01 12:13:00,2,15337,2.423
2020-01-01 12:13:00,3,26968,4.099
2020-01-01 12:13:00,4,3047,3.048
2020-01-01 12:13:00,5,18267,3.73
2020-01-01 12:13:00,6,99862,1.03
2020-01-01 12:13:00,7,38879,4.409
2020-01-01 12:13:00,8,18267,3.856
2020-01-01 12:13:00,9,2946,3.086
2020-01-01 12:13:00,10,99511,2.581
2020-01-01 12:14:00,1,4389,3.365
2020-01-01 12:14:00,2,15337,2.763
2020-01-01 12:14:00,3,26968,4.189
2020-01-01 12:14:00,4,3047,3.55
2020-01-01 12:14:00,5,18267,4.127
2020-01-01 12:14:00,6,99862,1.096
2020-01-01 12:14:00,7,38879,4.367
2020-01-01 12:14:00,8,18267,3.905
2020-01-01 12:14:00,9,2946,3.404
2020-01-01 12:14:00,10,99511,2.752
