ts,household_id,postcode,power_usage_in_kw
2020-01-01 12:05:00,1,4389,3.714
2020-01-01 12:05:00,2,15337,2.964
2020-01-01 12:05:00,3,26968,4.116
2020-01-01 12:05:00,4,3047,3.363
2020-01-01 12:05:00,5,18267,3.414
2020-01-01 12:05:00,6,99862,0.839
2020-01-01 12:05:00,7,38879,4.265
2020-01-01 12:05:00,8,18267,3.767
2020-01-01 12:05:00,9,2946,3.332
2020-01-01 12:05:00,10,99511,2.375
2020-01-01 12:06:00,1,4389,3.548
2020-01-01 12:06:00,2,15337,3.079
2020-01-01 12:06:00,3,26968,4.344
2020-01-01 12:06:00,4,3047,3.453
2020-01-01 12:06:00,5,18267,3.882
2020-01-01 12:06:00,6,99862,1.206
2020-01-01 12:06:00,7,38879,4.264
2020-01-01 12:06:00,8,18267,3.647
2020-01-01 12:06:00,9,2946,3.449
2020-01-01 12:06:00,10,99511,2.817
2020-01-01 12:07:00,1,4389,3.811
2020-01-01 12:07:00,2,15337,2.436
2020-01-01 12:07:00,3,26968,4.004
2020-01-01 12:07:00,4,3047,3.217
2020-01-01 12:07:00,5,18267,3.707
2020-01-01 12:07:00,6,99862,1.292
2020-01-01 12:07:00,7,38879,3.9
2020-01-01 12:07:00,8,18267,3.714
2020-01-01 12:07:00,9,2946,3.461
2020-01-01 12:07:00,10,99511,2.834
2020-01-01 12:08:00,1,4389,3.819
2020-01-01 12:08:00,2,15337,2.758
2020-01-01 12:08:00,3,26968,4.301
2020-01-01 12:08:00,4,3047,3.726
2020-01-01 12:08:00,5,18267,3.694
2020-01-01 12:08:00,6,99862,0.757
2020-01-01 12:08:00,7,38879,4.058
2020-01-01 12:08:00,8,18267,3.456
2020-01-01 12:08:00,9,2946,3.646
2020-01-01 12:08:00,10,99511,2.432
2020-01-01 12:09:00,1,4389,3.327
2020-01-01 12:09:00,2,15337,2.806
2020-01-01 12:09:00,3,26968,4.566
2020-01-01 12:09:00,4,3047,3.562
2020-01-01 12:09:00,5,18267,3.583
2020-01-01 12:09:00,6,99862,1.286
2020-01-01 12:09:00,7,38879,4.129
2020-01-01 12:09:00,8,18267,3.417
2020-01-01 12:09:00,9,2946,3.21
2020-01-01 12:09:00,10,99511,2.811
